Year,Brand,Model,Mileage,Price
2024,YAMAHA,MIO GEAR,6345,"56,467"
2022,YAMAHA,MIO GEAR S,20156,"42,000"
2023,YAMAHA,MIO I 125,18632,"44,615"
2023,YAMAHA,MIO I 125,13218,"39,752"
2021,YAMAHA,MIO I 125,25626,"45,938"
2024,YAMAHA,MIO I 125S,8591,"58,916"
2021,YAMAHA,MIO I 125S (B6B3),24222,"53,462"
2022,YAMAHA,MIO SPORTY,29803,"45,316"
2023,YAMAHA,MIO SPORTY,14121,"58,464"
2022,YAMAHA,MT-15,11966,"121,272"
2022,YAMAHA,Mio Aerox,22802,"84,810"
2022,YAMAHA,NMAX ABS,28000,"90,791"
2023,YAMAHA,NMAX ABS,3264,"86,189"
2022,YAMAHA,NMAX ABS,17843,"117,640"
2022,HONDA,PCX160 (ABS),21556,"119,117"
2023,SUZUKI, SMASH FI (SPOKES/DRUM),3902,"26,000"
2023,YAMAHA,SNIPER155,25030,"77,975"
2023,YAMAHA,SNIPER155R,5994,"90,786"
2023,HONDA,Supra GTR 150,11619,"74,889"
2023,HONDA,TMX 125A,9889,"45,245"
2023,HONDA,TMX 125A,4283,"36,296"
2023,HONDA,WAVE RSX (DISC),13016,"46,319"
2021,HONDA,TMX 125A,16127,"32,874"
2023,KAWASAKI,BARAKO III DUAL START,8116,"79,149"
2022,SUZUKI,BURGMAN STREET,6186,"62,352"
2023,HONDA,CLICK 125i,17288,"63,907"
2024,HONDA,CLICK 125i,8591,"63,907"
2023,HONDA,CLICK 125i,4948,"58,146"
2023,HONDA,CLICK 125i,16261,"58,566"
2023,HONDA,CLICK 125i,14088,"58,146"
2023,HONDA,CLICK 125i,16533,"47,986"
2022,HONDA,DIO,2734,"48,045"
2024,KTM,DUKE 200,6295,"85,881"
2023,SUZUKI,GIXXER 150,25131,"55,821"
2024,YAMAHA,MIO FAZZIO,4877,"67,286"
2023,YAMAHA,MIO GEAR,10930,"45,739"
2024,YAMAHA,MIO GEAR,12353,"56,467"
2023,YAMAHA,MIO GEAR S,15171,"37,940"
2022,YAMAHA,MIO GEAR S,489,"58,566"
2023,YAMAHA,MIO I 125S,11038,"58,916"
2024,YAMAHA,Mio Aerox,4049,"86,980"
2022,BENELLI,PANAREA,15009,"54,223"
2023,SUZUKI,Raider R 150 Fi,7558,"82,838"
2024,SUZUKI,Raider R 150 Fi,2000,"61,476"
2022,SUZUKI,SMASH 115 DISC/MAGS,43118,"46,204"
2022,YAMAHA,SNIPER155,9212,"94,622"
2023,YAMAHA,SNIPER155,7814,"97,344"
2024,YAMAHA,SNIPER155R,5000,"55,937"
2022,HONDA,TMX 125A,,"28,266"
2022,HONDA,TMX 125A,,"25,646"
2023,HONDA,TMX 125A,11501,"26,219"
2023,HONDA,TMX 125A,6868,"33,323"
2023,KAWASAKI,Z400 (Standard),4469,"185,308"
2022,HONDA,ADV160,24569,"129,226"
2023,HONDA,ADV160,22577,"117,703"
2024,HONDA,BEAT (ACH110CBFR3) ,5733,"41,525"
2024,HONDA,BEAT (ACH110CBFR3) ,4916,"57,298"
2023,HONDA,BEAT Fi ESP (CBS/ISS),7263,"55,713"
2024,HONDA,BeAT Premium,2041,"58,075"
2024,HONDA,CLICK 125 (SPECIAL EDITION),3913,"66,240"
2023,HONDA,CLICK 125i,11489,"63,907"
2023,HONDA,CLICK 125i,12971,"63,907"
2023,HONDA,CLICK 125i,13678,"63,907"
2024,HONDA,CLICK 125i,,"41,250"
2023,HONDA,CLICK 125i,8701,"29,570"
2023,HONDA,CLICK 125i,39314,"56,918"
2023,HONDA,Click160,11748,"69,897"
2023,YAMAHA,MIO FAZZIO,10969,"53,042"
2022,YAMAHA,MIO I 125,21822,"51,042"
